monomer_mass,SMILES
101.04,OC[C@@H](C)N
87.03,OCCN
143.09,OC[C@@H](CC(C)C)N
216.08,OC[C@@H](CC1=CNC2=C1C=CC=C2)N
177.07,OC[C@@H](CC1=CC=CC=C1)N
193.07,OC[C@@H](CC1=CC=C(O)C=C1)N
159.05,OC[C@@H](CCC(O)=O)N
224.05,OCCNC1=CC=C([N+]([O-])=O)C2=NON=C12
238.07,OCC(C)NC1=CC=C([N+]([O-])=O)C2=NON=C12
280.11,OCC(CC(C)C)NC1=CC=C([N+]([O-])=O)C2=NON=C12
353.11,OCC(CC1=CNC2=C1C=CC=C2)NC3=CC=C([N+]([O-])=O)C4=NON=C34
314.1,OCC(CC1=CC=CC=C1)NC2=CC=C([N+]([O-])=O)C3=NON=C23
330.09,OCC(CC1=CC=C(O)C=C1)NC2=CC=C([N+]([O-])=O)C3=NON=C23
296.07,OCC(CCC(O)=O)NC1=CC=C([N+]([O-])=O)C2=NON=C12
